id,productCode,productName,productPrice,productAmount,productDescription
11,S12_3380,1968 Dodge Charger,75.16,9123,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black"
12,S12_3891,1969 Ford Falcon,83.05,1049,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
13,S12_3990,1970 Plymouth Hemi Cuda,31.92,5663,Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.
14,S12_4675,1969 Dodge Charger,58.73,7323,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.
15,S18_1097,1940 Ford Pickup Truck,58.33,2613,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box"
16,S18_1129,1993 Mazda RX-7,83.51,3975,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red."
17,S18_1342,1937 Lincoln Berline,60.62,8693,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black"
18,S18_1367,1936 Mercedes-Benz 500K Special Roadster,24.26,8635,"This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white."
19,S18_1589,1965 Aston Martin DB5,65.96,9042,"Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long."
20,S18_1662,1980s Black Hawk Helicopter,77.27,5330,"1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels."
21,S18_1749,1917 Grand Touring Sedan,86.7,2724,"This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish."
22,S18_1889,1948 Porsche 356-A Roadster,53.9,8826,"This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
23,S18_1984,1995 Honda Civic,93.89,9772,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow."
24,S18_2238,1998 Chrysler Plymouth Prowler,101.51,4724,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
25,S18_2248,1911 Ford Town Car,33.3,540,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system."
26,S18_2319,1964 Mercedes Tour Bus,74.86,8258,"Exact replica. 100+ parts. working steering system, original logos"
27,S18_2325,1932 Model A Ford J-Coupe,58.48,9354,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine"
28,S18_2432,1926 Ford Fire Engine,24.92,2018,"Gleaming red handsome appearance. Everything is here the fire hoses, ladder, axes, bells, lanterns, ready to fight any inferno."
29,S18_2581,P-51-D Mustang,49,992,Has retractable wheels and comes with a stand
30,S18_2625,1936 Harley Davidson El Knucklehead,24.23,4357,"Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish."
31,S18_2795,1928 Mercedes-Benz SSK,72.56,548,"This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black."
32,S18_2870,1999 Indy 500 Monte Carlo SS,56.76,8164,Features include opening and closing doors. Color: Red
33,S18_2949,1913 Ford Model T Speedster,60.78,4189,"This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red."
34,S18_2957,1934 Ford V8 Coupe,34.35,5649,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System"
35,S18_3029,1999 Yamaha Speed Boat,51.61,4259,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged."
36,S18_3136,18th Century Vintage Horse Carriage,60.74,5992,"Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.

This collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished."
37,S18_3140,1903 Ford Model A,68.3,3913,"Features opening trunk,  working steering system"
38,S18_3232,1992 Ferrari 360 Spider red,77.9,8347,"his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
39,S18_3233,1985 Toyota Supra,57.01,7733,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box"
40,S18_3259,Collectable Wooden Train,67.56,6450,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood."
41,S18_3278,1969 Dodge Super Bee,49.05,1917,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
42,S18_3320,1917 Maxwell Touring Car,57.54,7913,"Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System"
43,S18_3482,1976 Ford Gran Torino,73.49,9127,"Highly detailed 1976 Ford Gran Torino Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns."""
44,S18_3685,1948 Porsche Type 356 Roadster,62.16,8990,"This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors."
45,S18_3782,1957 Vespa GS150,32.95,7689,"Features rotating wheels , working kick stand. Comes with stand."
46,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,64.58,2378,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black."
47,S18_4027,1970 Triumph Spitfire,91.92,5545,Features include opening and closing doors. Color: White.
48,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,43.26,6553,"This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black."
49,S18_4522,1904 Buick Runabout,52.66,8290,"Features opening trunk,  working steering system"
50,S18_4600,1940s Ford truck,84.76,3128,"This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels."
51,S18_4668,1939 Cadillac Limousine,23.14,6645,"Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles"
52,S18_4721,1957 Corvette Convertible,69.93,1249,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.
53,S18_4933,1957 Ford Thunderbird,34.21,3209,"This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic."
54,S24_1046,1970 Chevy Chevelle SS 454,49.24,1005,"This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk."
55,S24_1578,1997 BMW R 1100 S,60.86,7003,Detailed scale replica with working suspension and constructed from over 70 parts
56,S24_1628,1966 Shelby Cobra 427 S/C,29.18,8197,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.
57,S24_1785,1928 British Royal Navy Airplane,66.74,3627,Official logos and insignias
58,S24_1937,1939 Chevrolet Deluxe Coupe,22.57,7332,"This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish."
59,S24_2000,1960 BSA Gold Star DBD34,37.32,15,Detailed scale replica with working suspension and constructed from over 70 parts
60,S24_2011,18th century schooner,82.34,1898,"All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged."
61,S24_2022,1938 Cadillac V-16 Presidential Limousine,20.61,2847,"This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats."
62,S24_2300,1962 Volkswagen Microbus,61.34,2327,"This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof."
63,S24_2360,1982 Ducati 900 Monster,47.1,6840,"Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand"
64,S24_2766,1949 Jaguar XK 120,47.25,2350,"Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
65,S24_2840,1958 Chevy Corvette Limited Edition,15.91,2542,"The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green."
66,S24_2841,1900s Vintage Bi-Plane,34.25,5942,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.
67,S24_2887,1952 Citroen-15CV,72.82,1452,"Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish."
68,S24_2972,1982 Lamborghini Diablo,16.24,7723,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
69,S24_3151,1912 Ford Model T Delivery Wagon,46.91,9173,"This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white."
70,S24_3191,1969 Chevrolet Camaro Z28,50.51,4695,"1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention."
71,S24_3371,1971 Alpine Renault 1600s,38.58,7995,"This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
72,S24_3420,1937 Horch 930V Limousine,26.3,2902,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system"
73,S24_3432,2002 Chevy Corvette,62.11,9446,"The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk."
74,S24_3816,1940 Ford Delivery Sedan,48.64,6621,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System. Color black."
75,S24_3856,1956 Porsche 356A Coupe,98.3,6600,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.
76,S24_3949,Corsair F4U ( Bird Cage),29.34,6812,Has retractable wheels and comes with a stand. Official logos and insignias.
77,S24_3969,1936 Mercedes Benz 500k Roadster,21.75,2081,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black."
78,S24_4048,1992 Porsche Cayenne Turbo Silver,69.78,6582,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish."
79,S24_4258,1936 Chrysler Airflow,57.46,4710,"Features opening trunk,  working steering system. Color dark green."
80,S24_4278,1900s Vintage Tri-Plane,36.23,2756,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.
81,S24_4620,1961 Chevrolet Impala,32.33,7869,"This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift, two-tone interior; working steering system; all topped of with a factory baked-enamel finish."
82,S32_1268,1980’s GM Manhattan Express,53.93,5099,"This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery."
83,S32_1374,1997 BMW F650 ST,66.92,178,Features official die-struck logos and baked enamel finish. Comes with stand.
84,S32_2206,1982 Ducati 996 R,24.14,9241,"Features rotating wheels , working kick stand. Comes with stand."
85,S32_2509,1954 Greyhound Scenicruiser,25.98,2874,"Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos"
86,S32_3207,1950's Chicago Surface Lines Streetcar,26.72,8601,"This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston)."
87,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,33.61,814,"This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab"
88,S32_4289,1928 Ford Phaeton Deluxe,33.02,136,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system"
89,S32_4485,1974 Ducati 350 Mk3 Desmo,56.13,3341,"This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand"
90,S50_1341,1930 Buick Marquette Phaeton,27.06,7062,"Features opening trunk,  working steering system"
91,S50_1392,Diamond T620 Semi-Skirted Tanker,68.29,1016,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.
92,S50_1514,1962 City of Detroit Streetcar,37.49,1645,"This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston)."
93,S50_4713,2002 Yamaha YZR M1,34.17,600,"Features rotating wheels , working kick stand. Comes with stand."
94,S700_1138,The Schooner Bluenose,34,1897,"All wood with canvas sails. Measures 31 1/2 inches in Length, 22 inches High and 4 3/4 inches Wide. Many extras.
The schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime, the Bluenose was lost off Haiti in 1946."
95,S700_1691,American Airlines: B767-300,51.15,5841,Exact replia with official logos and insignias and retractable wheels
96,S700_1938,The Mayflower,43.3,737,"Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide
All wood with canvas sail. Extras include long boats, rigging, ladders, railing, anchors, side cannons, hand painted, etc."
97,S700_2047,HMS Bounty,39.83,3501,"Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. 
Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged."
98,S700_2466,America West Airlines B757-200,68.8,9653,Official logos and insignias. Working steering system. Rotating jet engines
99,S700_2824,1982 Camaro Z28,46.53,6934,"Features include opening and closing doors. Color: White. 
Measures approximately 9 1/2 Long."""
100,S700_2834,ATA: B757-300,59.33,7106,Exact replia with official logos and insignias and retractable wheels
101,S700_3167,F/A 18 Hornet 1/72,54.4,551,"10 Wingspan with retractable landing gears.Comes with pilot"""
102,S700_3505,The Titanic,51.09,1956,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal."
103,S700_3962,The Queen Mary,53.63,5088,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged."
104,S700_4002,American Airlines: MD-11S,36.27,8820,Polished finish. Exact replia with official logos and insignias and retractable wheels
105,S72_1253,Boeing X-32A JSF,32.77,4857,"10 Wingspan with retractable landing gears.Comes with pilot"""
106,S72_3212,Pont Yacht,33.3,414,"Measures 38 inches Long x 33 3/4 inches High. Includes a stand.
Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 2 masts, all square-rigged"
